"","Province_State","date","total_cases"
"1","California",2020-04-23,1001.23447875864
"2","Colorado",2020-04-23,1958.4158745947
"3","Georgia",2020-04-23,2061.0462632976
"4","Illinois",2020-04-23,2914.89281611538
"5","Kentucky",2020-04-23,778.705155905546
"6","North Carolina",2020-04-23,745.608063398424
"7","Oklahoma",2020-04-23,762.451885545787
"8","Texas",2020-04-23,781.145432346063
"9","Wisconsin",2020-04-23,867.678362691617
