"","Province_State","date","total_cases"
"1","California",2020-04-21,897.570354368571
"2","Colorado",2020-04-21,1818.62825453363
"3","Georgia",2020-04-21,1872.4882676333
"4","Kentucky",2020-04-21,717.151859592231
"5","North Carolina",2020-04-21,680.200501826644
"6","Oklahoma",2020-04-21,709.380988640048
"7","Texas",2020-04-21,709.549056295272
"8","Wisconsin",2020-04-21,794.34133559951
